EXHAUST TEMP 1,EXHAUST TEMP 2,EXHAUST TEMP 3,EXHAUST TEMP 4,EXHAUST TEMP 5,EXHAUST TEMP 6,KW,AMP,FREQ,LO IN TEMP,CPW IN TEMP,CPW OUT TEMP,SCAV TEMP,FO TEMP,TC IN TEMP,TC OUT TEMP,LO PRESS,FO PRESS,CW PRESS,SCAV AIR PRESS,TC LO PRESS,Rack Index,AvgEGT
355.0,364,355,414,355.0,346.0,335,566,60,60,33,48,35.0,101,498,365,5.4,6.7,3.1,1.5,3.0,21.05,364.8333333333333
392.0,345,355,417,365.0,449.0,376,630,60,60,32,40,35.0,99,498,341,5.4,6.6,1.9,1.7,3.0,22.28,387.1666666666667
391.0,365,360,397,374.0,427.0,222,366,60,60,32,46,33.0,103,485,397,5.5,7.5,1.9,0.8,3.1,17.66,385.6666666666667
415.0,413,398,390,398.0,411.0,232,406,60,61,32,35,33.0,105,491,431,4.9,8.2,1.9,0.7,2.7,17.96,404.1666666666667
393.0,369,349,405,374.0,420.0,228,351,60,52,33,50,52.0,102,487,392,5.5,7.6,1.9,0.9,3.1,17.84,385.0
416.0,414,697,381,397.0,411.0,227,359,60,52,33,54,33.0,103,493,407,5.2,8.4,3.2,0.8,2.8,17.81,452.6666666666667
386.0,361,329,394,381.0,415.0,155,285,60,60,32,45,33.0,103,475,405,5.5,7.7,1.9,0.5,3.3,15.65,377.6666666666667
391.0,394,383,364,368.0,391.0,146,235,60,61,32,35,30.0,105,474,432,5.1,8.4,1.9,0.4,3.1,15.38,381.8333333333333
385.0,348,352,423,344.0,455.0,380,418,660,60,32,48,35.0,97,498,358,5.4,6.6,2.3,1.5,3.0,22.4,384.5
386.0,366,357,419,357.0,447.0,380,608,60,60,32,48,35.0,98,495,344,5.4,6.6,1.9,1.7,3.0,22.4,388.6666666666667
391.0,366,357,417,357.0,444.0,350,568,60,60,32,48,35.0,99,498,364,5.4,6.6,1.9,1.5,3.0,21.5,388.6666666666667
394.0,366,347,394,382.0,415.0,195,267,60,59,31,46,33.0,103,481,405,5.5,6.7,1.9,0.6,3.2,16.85,383.0
406.0,406,391,385,380.0,407.0,188,362,60,62,32,35,33.0,104,486,343,4.1,7.6,2.0,0.6,2.3,16.64,395.8333333333333
397.0,369,360,417,361.0,448.0,353,578,60,60,32,59,35.0,102,508,369,5.4,6.4,3.3,1.5,3.0,21.59,392.0
393.0,373,361,428,373.0,459.0,418,567,60,60,32,49,36.0,102,510,365,5.3,6.4,1.9,1.8,3.0,23.54,397.8333333333333
396.0,37,369,425,377.0,458.0,409,661,60,61,32,49,36.0,103,515,344,3.4,6.9,1.9,1.9,3.0,23.27,343.6666666666667
397.0,380,369,435,388.0,467.0,400,653,60,60,32,49,36.0,102,515,365,5.3,6.9,1.8,1.9,3.0,23.0,406.0
398.0,379,371,432,385.0,465.0,410,668,60,61,32,49,36.0,102,515,365,5.3,6.9,1.8,2.0,3.0,23.3,405.0
408.0,388,376,451,379.0,466.0,373,612,60,61,32,49,39.0,103,521,377,5.4,7.2,1.9,1.7,3.0,22.19,411.3333333333333
406.0,374,368,426,377.0,462.0,414,651,60,61,55,61,37.0,104,516,367,5.4,8.3,3.1,1.8,3.0,23.42,402.1666666666667
405.0,390,377,449,386.0,477.0,419,675,60,61,32,59,40.0,103,504,373,5.3,7.2,1.9,2.0,3.0,23.57,414.0
420.0,417,409,424,400.0,482.0,433,691,60,62,33,39,35.0,104,515,389,4.9,7.3,2.0,2.0,2.7,23.99,425.3333333333333
419.0,420,408,430,412.0,478.0,432,694,60,62,33,39,36.0,103,516,360,4.8,7.3,1.9,2.0,2.7,23.96,427.8333333333333
407.0,385,379,447,382.0,468.0,374,602,60,61,32,49,40.0,103,521,377,5.3,7.5,1.9,1.7,3.0,22.22,411.3333333333333
402.0,399,388,458,403.0,487.0,437,692,60,61,32,51,39.0,104,532,374,5.2,7.1,1.8,2.1,2.9,24.11,422.8333333333333
413.0,390,383,456,389.0,469.0,390,621,60,58,32,55,36.0,103,531,389,5.3,7.1,3.1,1.6,3.0,22.7,416.6666666666667
420.0,369,402,422,416.0,407.0,203,370,60,61,33,48,34.0,104,516,427,5.3,7.2,1.7,0.7,3.0,17.09,406.0
416.0,407,407,405,385.0,433.0,222,347,60,62,34,37,34.0,105,510,444,4.9,7.6,1.8,0.7,2.7,17.66,408.8333333333333
414.0,403,409,462,402.0,456.0,426,685,60,61,33,51,38.0,101,537,386,5.2,7.4,3.1,1.9,2.9,23.78,424.3333333333333
414.0,407,410,480,412.0,460.0,237,378,60,61,32,48,36.0,103,521,400,5.2,7.2,1.7,0.8,3.0,18.11,430.5
415.0,408,409,407,389.0,442.0,241,368,60,62,32,36,36.0,104,528,389,4.8,7.3,1.8,0.9,2.7,18.23,411.6666666666667
400.0,406,411,458,399.0,456.0,393,638,60,61,33,51,39.0,103,543,359,5.3,7.2,1.8,1.8,2.9,22.79,421.6666666666667
415.0,406,411,450,415.0,459.0,537,401,60,61,32,50,38.0,105,543,369,5.2,7.2,1.8,0.9,3.0,27.11,426.0
416.0,407,408,407,390.0,443.0,238,402,60,62,32,36,38.0,106,529,401,4.7,7.3,1.8,0.9,2.7,18.14,411.8333333333333
416.0,403,414,462,407.0,475.0,420,666,60,61,33,51,38.0,105,586,391,5.3,7.4,3.1,1.8,2.5,23.6,429.5
417.0,405,414,461,410.0,474.0,237,378,60,61,32,51,36.0,105,528,392,5.2,7.3,0.8,0.8,3.0,18.11,430.1666666666667
415.0,408,415,410,95.0,445.0,236,361,60,62,32,38,37.0,107,529,376,4.6,7.3,0.9,0.8,2.8,18.08,364.6666666666667
419.0,402,414,472,407.0,447.0,412,659,60,61,33,51,38.0,102,549,398,5.2,7.0,3.1,1.7,3.0,23.36,426.8333333333333
415.0,406,411,451,415.0,457.0,238,398,60,61,33,51,37.0,104,540,401,5.2,7.2,1.8,0.8,3.0,18.14,425.8333333333333
415.0,408,410,413,420.0,439.0,238,379,60,62,32,50,37.0,100,531,415,4.2,7.3,1.8,0.8,2.8,18.14,417.5
424.0,409,414,477,410.0,470.0,413,682,60,61,33,51,38.0,100,549,397,5.2,7.1,1.8,1.8,2.9,23.39,434.0
417.0,410,415,452,420.0,460.0,238,390,60,61,33,51,38.0,106,541,403,5.2,7.2,1.7,0.9,3.0,18.14,429.0
417.0,409,410,417,416.0,435.0,236,370,60,62,32,37,38.0,105,537,395,5.1,7.3,1.9,1.0,2.8,18.08,417.3333333333333
427.0,409,417,477,418.0,464.0,414,650,60,61,33,51,38.0,101,549,397,5.2,7.0,3.2,1.8,2.8,23.42,435.3333333333333
427.0,410,421,475,417.0,465.0,236,401,60,61,33,51,38.0,105,547,396,5.2,7.2,1.8,0.9,3.0,18.08,435.8333333333333
415.0,410,415,420,438.0,410.0,241,407,60,62,32,37,38.0,106,535,394,4.8,7.3,1.8,0.8,2.8,18.23,418.0
431.0,403,426,472,406.0,453.0,410,665,60,61,32,51,37.0,102,546,297,5.2,6.9,1.7,1.7,2.8,23.3,431.8333333333333
419.0,396,406,433,406.0,426.0,237,334,60,61,31,48,34.0,103,518,422,5.3,7.0,1.8,0.8,2.9,18.11,414.3333333333333
